Horizon (years),Strategy,Cost (USD per patient),QALYs per patient,Delirium cases per patient,Rehab discharges per patient,Deaths per patient,Readmissions per patient
1.0,Usual anesthesia,5681.71808584838,0.45634747542935133,0.2034,0.34571424965158704,0.15206937797474707,0.7992691371696761
1.0,pEEG-guided anesthesia,5449.339162418759,0.45786846002416176,0.164754,0.3363577850549061,0.1503707071841863,0.7928375036837517
1.0,Increment (pEEG - usual),-232.37892342962095,0.0015209845948104261,-0.038645999999999986,-0.009356464596680936,-0.001698670790560769,-0.0064316334859243485
5.0,Usual anesthesia,18404.65094076389,2.076851482196529,0.2034,0.34571424965158704,0.2993549299468063,3.3438557081527773
5.0,pEEG-guided anesthesia,18189.96675754586,2.0817410565105026,0.164754,0.3363577850549061,0.29796105816145396,3.3409630227091704
5.0,Increment (pEEG - usual),-214.68418321803256,0.0048895743139736325,-0.038645999999999986,-0.009356464596680936,-0.0013938717853523297,-0.0028926854436068794
10.0,Usual anesthesia,31088.15584341119,3.5152825531525536,0.2034,0.34571424965158704,0.4483209072800325,5.880556688682241
10.0,pEEG-guided anesthesia,30898.689553737837,3.5230350717228536,0.164754,0.3363577850549061,0.44722373525537307,5.88270758194757
10.0,Increment (pEEG - usual),-189.46628967335346,0.0077525185703000155,-0.038645999999999986,-0.009356464596680936,-0.0010971720246594208,0.0021508932653286905
